"Year" "Vessel" "station" "lat" "long" "year" "month" "Chrysaora.melanaster..catch.number." "date"
"1" 2012 "OD" 1 55.9991 -162.0079 2012 8 50.53338729 "2012-8"
"2" 2012 "OD" 3 56.4943 -162.0478 2012 8 1111.752137 "2012-8"
"3" 2012 "OD" 6 56.4898 -161.0706 2012 8 871.6347826 "2012-8"
"4" 2012 "OD" 7 56.997 -161.0166 2012 8 271.1560364 "2012-8"
"5" 2012 "OD" 9 56.9846 -160.0641 2012 8 9392.611146 "2012-8"
"6" 2012 "OD" 11 57.511 -159.9893 2012 8 300.0921871 "2012-8"
"7" 2012 "OD" 12 58.0043 -160.0303 2012 8 63.67942828 "2012-8"
"8" 2012 "OD" 13 57.9948 -161.029 2012 8 32.11973875 "2012-8"
"9" 2012 "OD" 14 57.5298 -160.9611 2012 8 702.0361688 "2012-8"
"10" 2012 "OD" 15 57.0043 -162.0116 2012 8 183.464708 "2012-8"
"11" 2012 "OD" 16 57.5161 -161.985 2012 8 166.186747 "2012-8"
"12" 2012 "OD" 17 57.9898 -161.997 2012 8 23.41632089 "2012-8"
"13" 2012 "OD" 18 57.9961 -162.914 2012 8 4.859611231 "2012-8"
"14" 2012 "OD" 20 57.5103 -163.0216 2012 8 62.17709467 "2012-8"
"15" 2012 "OD" 21 57.0036 -163.0403 2012 8 829.0852221 "2012-8"
"16" 2012 "OD" 22 56.4958 -163.0256 2012 8 408.2295374 "2012-8"
"17" 2012 "OD" 24 56.014 -162.9531 2012 8 837.6826722 "2012-8"
"18" 2012 "OD" 26 55.5048 -163.0415 2012 8 240.3885135 "2012-8"
"19" 2012 "OD" 28 55.4943 -164.0038 2012 8 91.69341749 "2012-8"
"20" 2012 "OD" 30 55.9855 -164.059 2012 8 204.4196429 "2012-8"
"21" 2012 "OD" 32 56.503 -164.0233 2012 8 138.7543718 "2012-8"
"22" 2012 "OD" 33 57.0333 -164.0581 2012 8 461.006006 "2012-8"
"23" 2012 "OD" 34 57.5028 -164.0023 2012 8 37.65154639 "2012-8"
"24" 2012 "OD" 35 58.017 -163.9521 2012 8 1 "2012-8"
"25" 2012 "OD" 37 58.4945 -164.0521 2012 8 2 "2012-8"
"26" 2012 "OD" 38 58.4971 -165.0386 2012 8 0 "2012-8"
"27" 2012 "OD" 39 57.979 -165.0173 2012 8 2 "2012-8"
"28" 2012 "OD" 40 57.523 -164.9521 2012 8 368.0464779 "2012-8"
"29" 2012 "OD" 41 56.9975 -165.0001 2012 8 504.6521493 "2012-8"
"30" 2012 "OD" 42 56.4788 -165.0308 2012 8 602.4740228 "2012-8"
"31" 2012 "OD" 43 55.9763 -164.9848 2012 8 121.9763441 "2012-8"
"32" 2012 "OD" 45 55.5448 -165.0011 2012 8 22.39578947 "2012-8"
"33" 2012 "OD" 47 54.9994 -165.0469 2012 8 0 "2012-8"
"34" 2012 "OD" 49 54.9895 -165.9491 2012 8 15.12761021 "2012-8"
"35" 2012 "OD" 50 55.4895 -166.0081 2012 8 57.65289256 "2012-8"
"36" 2012 "OD" 54 56.0132 -165.9967 2012 8 73.6223176 "2012-8"
"37" 2012 "OD" 56 56.4683 -166.0096 2012 8 306.4334086 "2012-8"
"38" 2012 "OD" 57 56.991 -166.0505 2012 8 146.5973535 "2012-8"
"39" 2012 "OD" 59 57.5026 -165.9901 2012 8 291.1997363 "2012-8"
"40" 2012 "OD" 60 58.0111 -166.0258 2012 8 0 "2012-8"
"41" 2012 "OD" 61 58.521 -166.022 2012 8 1 "2012-8"
"42" 2012 "OD" 63 58.9846 -165.978 2012 8 1 "2012-8"
"43" 2012 "OD" 65 59.0042 -166.9924 2012 8 38.76257947 "2012-8"
"44" 2012 "OD" 66 58.4651 -166.9795 2012 8 29.6141418 "2012-8"
"45" 2012 "OD" 67 57.9683 -167.018 2012 9 39.13630679 "2012-9"
