"LONG"	"LAT"	"Date"	"month"	"year"
-76.491667	-13.178333	1972-03-26	3	1972
-76.58	-13.52	1972-03-26	3	1972
-76.5	-13.883333	1972-03-26	3	1972
-76.083333	-14.726667	1972-03-27	3	1972
-76.296667	-14.9	1972-03-27	3	1972
-75.9	-14.933333	1972-03-27	3	1972
-75.631667	-15.005	1972-03-27	3	1972
-75.06	-15.778333	1972-03-28	3	1972
-74.4	-15.966667	1972-03-28	3	1972
-75.216667	-15.666667	1972-03-30	3	1972
-75.183333	-15.333333	1972-03-30	3	1972
-76.55	-13.383333	1972-09-05	9	1973
-79.166667	-8.566667	1972-09-05	9	1973
-79.289611	-7.966667	1972-09-05	9	1973
-74.55	-15.766667	1972-09-05	9	1973
-81.933333	-6.033333	1972-09-05	9	1973
-81.016667	-6.566667	1972-09-05	9	1973
-82.166667	-6.766667	1972-09-05	9	1973
-80.15	-6.85	1972-09-05	9	1973
-80.666667	-6.866667	1972-09-05	9	1973
-81.05	-6.883333	1972-09-05	9	1973
-79.7	-7.416667	1972-09-05	9	1973
-80.383333	-7.166667	1972-09-05	9	1973
-80.533333	-6.716667	1972-09-05	9	1973
-80.016667	-7.6	1972-09-05	9	1973
-79.766667	-8.033333	1972-09-05	9	1973
-80.883333	-7.983333	1972-09-05	9	1973
-79.366667	-8.666667	1972-09-05	9	1973
-78.916667	-8.666667	1972-09-05	9	1973
-78.7	-9.4	1972-09-05	9	1973
-78.566667	-10.1	1972-09-05	9	1973
-78.9	-10.1	1972-09-05	9	1973
-79.566667	-10.1	1972-09-05	9	1973
-78.116667	-10.2	1972-09-05	9	1973
-78.233333	-10.2	1972-09-05	9	1973
-78.25	-10.2	1972-09-05	9	1973
-78.016667	-10.6	1972-09-05	9	1973
-78.183333	-10.666667	1972-09-05	9	1973
-78.6	-10.666667	1972-09-05	9	1973
-78.45	-11.333333	1972-09-05	9	1973
-77.716667	-11.983333	1972-09-05	9	1973
-77.883333	-12	1972-09-05	9	1973
-77.9	-11.983333	1972-09-05	9	1973
-78.35	-10.608333	1972-09-05	9	1973
-78.283333	-10.55	1972-09-05	9	1973
-77.916667	-10.75	1972-09-05	9	1973
-77.35	-11.866667	1972-09-05	9	1973
-77.166667	-12.333333	1972-09-05	9	1973
-77.083333	-12.483333	1972-09-05	9	1973
-78.083333	-12.5	1972-09-05	9	1973
-77.133333	-13.316667	1972-09-05	9	1973
-77.816667	-13.45	1972-09-05	9	1973
-76.45	-13.783333	1972-09-05	9	1973
-77.266667	-13.733333	1972-09-05	9	1973
-77.983333	-13.683333	1972-09-05	9	1973
-76.883333	-14.05	1972-09-05	9	1973
-76.733333	-13.633333	1972-09-05	9	1973
-76.933333	-13.95	1972-09-05	9	1973
-76.216667	-14.533333	1972-09-05	9	1973
-76.916667	-14.605	1972-09-05	9	1973
-75.85	-14.883333	1972-09-05	9	1973
-76.266667	-14.833333	1972-09-05	9	1973
-77.3	-14.716667	1972-09-05	9	1973
-75.75	-15.45	1972-09-05	9	1973
-76.766667	-15.6	1972-09-05	9	1973
-74.9	-15.966667	1972-09-05	9	1973
-75.333333	-15.866667	1972-09-05	9	1973
-74.783333	-15.656667	1972-09-05	9	1973
-75.616667	-15.821667	1972-09-05	9	1973
-75.8	-15.55	1972-09-06	9	1973
-78.466667	-9.433333	1972-09-06	9	1973
-78.716667	-9.15	1972-09-06	9	1973
-81.366667	-6.1	1972-09-06	9	1973
-81.566667	-7.183333	1972-09-06	9	1973
-80.833333	-6.316667	1972-09-06	9	1973
-81.65	-7.616667	1972-09-06	9	1973
-80.083333	-7.233333	1972-09-06	9	1973
-81.4	-6.516667	1972-09-06	9	1973
-81.3	-6.083333	1972-09-06	9	1973
-81.083333	-6.233333	1972-09-06	9	1973
-80.9	-7.6	1972-09-06	9	1973
-81.083333	-8.183333	1972-09-06	9	1973
-79.9	-7.916667	1972-09-06	9	1973
-79.716667	-7.983333	1972-09-06	9	1973
-79.316667	-8.233333	1972-09-06	9	1973
-79.616667	-7.55	1972-09-06	9	1973
-80.15	-9.2	1972-09-06	9	1973
-79.016667	-8.533333	1972-09-06	9	1973
-78.666667	-9.583333	1972-09-06	9	1973
-79.266667	-9.316667	1972-09-06	9	1973
-78.933333	-10.333333	1972-09-06	9	1973
-78.9	-8.983333	1972-09-06	9	1973
-79.6	-10.683333	1972-09-06	9	1973
-78.466667	-11.283333	1972-09-06	9	1973
-77.166667	-12.383333	1972-09-06	9	1973
-77.266667	-12.05	1972-09-06	9	1973
-78.116667	-11.233333	1972-09-06	9	1973
-77.333333	-11.566667	1972-09-06	9	1973
-76.866667	-12.55	1972-09-06	9	1973
-76.666667	-12.8	1972-09-06	9	1973
-76.45	-13.283333	1972-09-06	9	1973
-77.183333	-12.633333	1972-09-06	9	1973
-77.1	-12.25	1972-09-06	9	1973
-76.633333	-13.55	1972-09-06	9	1973
-76.566667	-13.416667	1972-09-06	9	1973
-76.716667	-14.4	1972-09-06	9	1973
-76.4	-14.5	1972-09-06	9	1973
-77.083333	-14.133333	1972-09-06	9	1973
-76.333333	-14.95	1972-09-06	9	1973
-76.3	-15.433333	1972-09-06	9	1973
-75.733333	-15.2	1972-09-06	9	1973
-75.433333	-15.116667	1972-09-06	9	1973
-74.766667	-15.72	1972-09-06	9	1973
-75.266667	-15.616667	1972-09-06	9	1973
-81.15	-6.25	1972-09-07	9	1973
-81.133333	-6.916667	1972-09-07	9	1973
-79.866667	-7.066667	1972-09-07	9	1973
-81.4	-6.516667	1972-09-07	9	1973
-81.033333	-6.516667	1972-09-07	9	1973
-81.133333	-6.666667	1972-09-07	9	1973
-80.65	-6.55	1972-09-07	9	1973
-80.433333	-6.866667	1972-09-07	9	1973
-79.733333	-7.283333	1972-09-07	9	1973
-79.583333	-8.4	1972-09-07	9	1973
-79.733333	-7.866667	1972-09-07	9	1973
-79.683333	-8.05	1972-09-07	9	1973
-79.866667	-8.683333	1972-09-07	9	1973
-79.3	-9.716667	1972-09-07	9	1973
-79.133333	-10.416667	1972-09-07	9	1973
-78.416667	-9.466667	1972-09-07	9	1973
-78.283333	-9.9	1972-09-07	9	1973
-78.133333	-10.5	1972-09-07	9	1973
-78.233333	-10.533333	1972-09-07	9	1973
-78.166667	-10.466667	1972-09-07	9	1973
-76.966667	-12.966667	1972-09-07	9	1973
-78.533333	-12.616667	1972-09-07	9	1973
-76.45	-13.9	1972-09-07	9	1973
-76.45	-13.35	1972-09-07	9	1973
-77.183333	-14.733333	1972-09-07	9	1973
-75.983333	-15.316667	1972-09-07	9	1973
-76.783333	-15.216667	1972-09-07	9	1973
-75.95	-15.316667	1972-09-07	9	1973
-76.6	-15.4	1972-09-07	9	1973
-76.2	-15.2	1972-09-07	9	1973
-76.45	-14.966667	1972-09-07	9	1973
-75.766667	-14.766667	1972-09-07	9	1973
-75.171667	-15.933333	1972-09-07	9	1973
-81.033333	-6.266667	1972-09-08	9	1973
-79.983333	-6.933333	1972-09-08	9	1973
-79.883333	21	1972-09-08	9	1973
-80.066667	-6.916667	1972-09-08	9	1973
-79.883333	-7.033333	1972-09-08	9	1973
-79.85	-7.35	1972-09-08	9	1973
